,Region,Name,Height
54,JUNNAR,Ratangad Fort,4255.0
35,NASHIK,Anjaneri Fort,4264.0
99,BHOR,Kenjalgad Fort,4269.0
2,BAGLAN,Mulher Fort ,4284.0
88,PUNE,Sinhagad Fort - Kondana Fort,4320.0
42,IGATPURI,Aundha/Avandha***,4329.0
17,VANI,Markandeya Fort ***,4370.0
94,PUNE,Vajragad,4422.0
3,BAGLAN,Hargad Fort ,4460.0
24,VANI,Indrai,4495.0
157,SHAHAPUR, Ajoba parvat - Aaja Parvat,4511.0
89,PUNE,Rajgad Fort,4514.0
100,BHOR,Kamalgad Fort,4522.0
93,PUNE,Purandar Fort,4560.0
43,IGATPURI,Patta Fort - Vishramgad,4562.0
98,BHOR, Raireshwar Fort,4589.0
90,PUNE,Torna Fort - Prachandgad,4604.0
16,VANI,Saptashrungi gad,4659.0
55,JUNNAR,Harishchandragad Fort,4671.0
62,JUNNAR,Hadsar Fort,4687.0
105,MAHABALESHWAR,Mahabaleshwar,4718.0
20,VANI,Dhodap Fort ***,4761.0
47,IGATPURI,Kulang***,4822.0
48,IGATPURI,Mandan***,4841.0
49,IGATPURI,Alang***,4852.0
5,BAGLAN,Salota Fort,4986.0
4,BAGLAN,Salher Fort,5140.0
53,JUNNAR,Kalsubai Trek,5400.0
